Id,Predict
0,1 12 49 66 
1,1 22 25 32 41 84 94 
2,6 31 41 47 53 72 
3,6 23 32 39 42 65 67 68 70 71 99 
4,8 9 17 18 22 25 79 82 
5,28 53 69 71 
6,0 19 26 34 37 
7,0 6 12 26 48 50 62 71 
8,9 20 37 45 50 65 
9,27 55 56 94 
10,5 12 38 46 53 56 
11,7 10 36 37 47 51 63 
12,1 10 35 37 53 91 95 96 
13,25 45 56 
14,10 28 41 53 67 87 
15,20 75 76 
16,27 36 43 81 87 
17,13 20 24 43 45 47 54 97 
18,2 32 39 43 50 71 84 
19,26 53 64 72 98 
20,6 37 50 
21,10 21 53 56 63 84 91 95 
22,9 10 27 72 74 97 
23,21 25 30 53 
24,6 12 19 31 50 78 83 
25,42 50 68 81 
26,1 25 34 44 71 
27,5 8 47 
28,1 22 79 84 94 
29,0 7 25 34 37 39 57 65 71 76 79 82 
30,0 25 34 37 71 81 82 
31,11 12 49 62 69 76 80 
32,1 47 53 74 89 91 
33,10 28 36 41 56 57 84 95 98 
34,5 26 27 39 59 69 87 
35,0 6 25 39 50 71 78 82 
36,26 50 71 73 81 
37,34 39 50 67 
38,10 66 67 
39,0 6 19 42 47 50 85 
40,5 9 41 56 67 97 
41,1 17 53 97 
42,20 53 94 
43,11 12 19 36 37 77 
44,-1
45,13 18 43 44 54 69 72 
46,20 26 41 56 
47,15 41 57 82 92 
48,4 12 24 75 84 
49,0 21 31 34 41 50 63 66 82 
50,0 2 6 23 26 42 62 77 
51,24 37 53 62 84 86 
52,4 40 65 
53,11 19 34 71 78 
54,8 10 12 38 59 62 71 77 81 91 
55,0 19 37 50 
56,3 9 37 41 63 72 80 95 96 
57,47 53 55 66 
58,41 50 78 
59,1 21 39 57 69 84 91 
60,2 36 51 56 71 77 
61,36 45 66 88 
62,16 25 30 39 45 53 66 
63,20 28 53 55 73 80 
64,47 50 65 87 93 
65,12 32 39 75 
66,10 28 41 44 74 
67,9 20 21 37 62 71 83 
68,5 14 43 61 81 
69,39 59 69 73 75 91 
70,12 56 65 
71,10 38 49 53 72 96 
72,10 26 56 77 78 95 
73,19 23 29 34 39 50 53 
74,6 26 34 42 50 71 
75,23 39 68 79 96 
76,41 
77,19 20 41 42 43 78 83 
78,11 53 
79,10 19 47 93 
80,10 12 31 38 83 87 
81,20 41 49 61 66 82 94 
82,24 64 77 
83,10 16 31 
84,5 8 12 53 89 
85,12 18 20 26 36 60 
86,8 10 13 35 47 53 57 69 87 
87,10 31 78 81 82 
88,27 53 71 84 
89,25 29 34 40 54 66 
90,12 21 37 53 73 81 84 91 
91,12 26 27 69 85 
92,10 18 25 26 47 
93,13 36 37 41 49 53 92 94 
94,2 52 71 
95,12 17 24 28 61 62 
96,9 14 38 64 
97,25 40 73 75 86 
98,8 18 22 74 79 
99,13 21 52 81 97 
100,1 21 23 36 47 51 53 89 98 
101,25 26 
102,19 25 50 78 82 
103,4 41 53 71 
104,25 30 65 82 83 99 
105,68 83 
106,8 53 56 94 
107,12 41 49 57 66 
108,12 26 41 49 51 56 71 75 77 81 82 91 92 
109,20 35 37 84 
110,47 69 84 
111,0 23 50 54 71 
112,10 25 27 47 66 98 
113,41 45 54 84 97 
114,27 51 
115,10 21 47 
116,45 56 81 94 
117,0 19 34 76 78 82 
118,12 39 54 90 
119,37 49 56 71 72 84 96 
120,56 
121,10 12 31 53 81 82 83 
122,0 12 19 44 81 82 83 
123,10 62 67 
124,32 80 94 95 97 
125,5 10 47 73 82 
126,37 53 73 91 95 
127,27 36 37 85 96 
128,25 53 
129,42 43 53 56 63 68 81 84 91 
130,8 27 39 84 89 92 
131,25 78 97 
132,21 25 47 
133,9 10 27 30 35 36 52 72 74 84 93 96 97 
134,12 47 84 86 
135,0 49 50 53 71 82 
136,14 46 72 
137,14 24 36 60 
138,0 18 25 53 65 71 
139,11 47 53 57 71 83 
140,25 26 30 31 52 53 71 82 
141,10 46 56 74 99 
142,10 14 83 87 
143,12 17 41 
144,6 38 75 92 97 
145,12 37 38 39 71 72 91 
146,28 54 69 81 82 
147,19 48 65 81 98 
148,25 73 81 
149,1 22 53 
150,5 32 41 
151,12 21 22 53 54 63 82 93 
152,9 14 15 30 35 66 96 
153,27 39 41 52 84 
154,0 25 76 79 82 
155,53 71 73 
156,6 49 68 81 
157,53 69 79 
158,10 26 36 66 67 71 81 84 94 
159,28 30 50 66 80 83 
160,8 12 18 48 52 56 84 
161,9 26 
162,36 37 59 73 79 91 
163,0 6 34 53 62 
164,9 15 30 37 53 90 98 
165,10 12 18 19 95 
166,31 56 77 
167,9 35 37 48 62 64 78 
168,50 56 91 95 
169,6 7 19 44 50 71 77 82 83 
170,13 20 38 62 69 79 91 
171,9 13 21 30 43 53 84 
172,30 49 72 89 
173,40 47 67 89 
174,12 24 49 60 73 
175,7 13 71 77 83 
176,37 53 95 
177,0 19 31 37 50 53 
178,3 8 22 36 52 60 73 
179,0 26 34 50 68 71 82 
180,10 31 63 91 
181,0 18 19 62 
182,18 47 77 87 
183,13 41 66 72 74 79 
184,16 48 53 88 93 97 
185,1 10 37 66 80 96 
186,22 25 56 71 
187,26 38 87 
188,5 17 34 41 71 84 95 
189,65 74 91 
190,0 10 25 39 50 79 81 
191,18 22 30 59 62 67 71 77 81 
192,41 61 85 87 
193,8 30 40 48 51 67 69 83 
194,1 12 38 39 53 64 84 
195,14 27 30 39 69 95 
196,16 24 82 
197,12 35 57 79 80 87 
198,5 18 49 74 93 
199,71 
200,12 37 53 71 
201,17 35 41 87 91 
202,12 38 72 75 
203,10 21 25 26 74 84 92 93 96 
204,12 26 28 29 41 56 75 78 83 87 
205,11 16 18 53 
206,12 30 64 67 70 79 84 
207,10 30 37 49 53 73 
208,25 34 53 71 82 84 
209,13 16 18 22 47 67 
210,21 82 98 
211,15 21 25 41 85 
212,0 19 37 56 71 
213,57 71 
214,5 41 46 53 64 77 
215,8 10 27 36 47 
216,5 9 16 19 25 36 45 56 84 93 95 
217,15 38 49 
218,9 47 49 89 
219,26 39 73 80 
220,8 9 10 14 46 67 87 92 
221,9 37 91 
222,11 13 18 41 
223,2 32 42 46 61 
224,10 13 30 37 39 72 73 
225,53 72 
226,9 16 37 81 
227,9 12 27 41 72 
228,9 31 37 39 
229,71 73 75 91 
230,13 28 41 53 54 67 74 87 97 
231,14 18 24 53 63 
232,39 50 73 78 
233,37 73 82 
234,24 47 52 66 68 
235,0 34 39 47 50 82 
236,69 72 94 
237,4 12 41 84 
238,0 13 25 29 30 44 45 52 
239,7 10 21 44 58 66 71 
240,32 53 73 75 
241,0 37 47 73 99 
242,0 23 31 50 71 99 
243,-1
244,10 11 12 21 22 64 76 81 92 
245,10 47 66 84 98 
246,5 10 28 41 47 71 86 89 95 
247,5 50 96 
248,11 13 41 68 
249,9 21 85 
250,10 41 75 84 
251,11 16 25 33 
252,6 34 37 41 61 78 
253,10 26 27 85 92 
254,-1
255,20 26 30 72 84 
256,0 18 19 53 81 84 94 
257,23 39 66 
258,27 45 56 77 
259,1 21 71 81 
260,10 41 49 53 58 
261,15 21 24 73 95 
262,9 13 18 68 96 
