Id,Predict
0,92 
1,-1
2,31 
3,23 
4,32 38 53 98 
5,-1
6,-1
7,6 13 60 71 
8,-1
9,-1
10,38 
11,-1
12,-1
13,71 
14,-1
15,9 82 
16,84 
17,56 
18,-1
19,-1
20,83 
21,56 84 97 
22,-1
23,35 
24,-1
25,-1
26,-1
27,38 
28,-1
29,0 82 
30,-1
31,89 
32,-1
33,-1
34,59 
35,-1
36,-1
37,-1
38,-1
39,85 
40,-1
41,-1
42,-1
43,-1
44,-1
45,54 
46,-1
47,-1
48,-1
49,-1
50,42 
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,66 
63,-1
64,-1
65,-1
66,10 
67,-1
68,-1
69,59 
70,-1
71,96 
72,56 
73,-1
74,-1
75,-1
76,-1
77,36 68 
78,-1
79,47 
80,-1
81,20 
82,10 
83,-1
84,-1
85,60 
86,-1
87,-1
88,-1
89,52 
90,37 
91,-1
92,-1
93,-1
94,-1
95,61 
96,67 
97,73 
98,30 
99,10 92 
100,24 53 
101,-1
102,71 
103,77 
104,65 
105,75 
106,-1
107,-1
108,38 
109,-1
110,-1
111,-1
112,-1
113,-1
114,27 
115,25 
116,-1
117,34 
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,24 77 
125,-1
126,3 
127,-1
128,-1
129,5 
130,89 
131,-1
132,25 30 
133,-1
134,-1
135,-1
136,-1
137,60 
138,-1
139,22 
140,-1
141,-1
142,-1
143,51 
144,38 
145,-1
146,6 68 
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,84 
154,-1
155,-1
156,3 
157,69 
158,-1
159,30 
160,-1
161,-1
162,-1
163,-1
164,5 
165,-1
166,-1
167,37 78 79 
168,-1
169,-1
170,77 
171,-1
172,-1
173,67 
174,60 
175,-1
176,-1
177,46 
178,-1
179,-1
180,63 
181,62 
182,-1
183,79 
184,-1
185,-1
186,-1
187,-1
188,84 
189,-1
190,79 
191,54 
192,32 87 
193,-1
194,-1
195,-1
196,12 
197,-1
198,12 86 
199,32 
200,-1
201,-1
202,-1
203,-1
204,57 68 98 
205,53 
206,26 79 
207,-1
208,-1
209,-1
210,82 
211,-1
212,-1
213,37 
214,43 
215,-1
216,-1
217,-1
218,20 
219,-1
220,-1
221,-1
222,-1
223,13 
224,-1
225,-1
226,56 
227,-1
228,-1
229,-1
230,-1
231,-1
232,71 
233,-1
234,39 
235,-1
236,49 
237,-1
238,-1
239,10 92 
240,84 
241,-1
242,50 
243,-1
244,81 
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,33 
252,-1
253,-1
254,9 25 30 82 
255,54 
256,-1
257,-1
258,20 
259,-1
260,-1
261,-1
262,-1
263,10 
264,-1
265,57 68 98 
266,-1
267,11 
268,-1
269,-1
270,68 98 
271,-1
272,83 97 
273,66 
274,10 
275,-1
276,84 
277,25 
278,-1
279,-1
280,36 
281,-1
282,-1
283,-1
284,-1
285,-1
286,-1
287,-1
288,-1
289,-1
290,45 
291,-1
292,5 
293,41 77 
294,47 
295,-1
296,-1
297,56 
298,25 28 
299,11 
300,56 
301,-1
302,-1
303,85 
304,83 97 
305,-1
306,-1
307,-1
308,50 
309,-1
310,47 97 
311,-1
312,33 
313,-1
314,44 
315,-1
316,-1
317,60 
318,64 
319,-1
320,-1
321,6 71 
322,93 
323,-1
324,43 
325,69 
326,16 21 
327,72 
328,-1
329,37 
330,-1
331,-1
332,-1
333,-1
334,66 
335,98 
336,-1
337,-1
338,12 
339,67 
340,71 
341,26 81 
342,-1
343,20 
344,37 
345,-1
346,-1
347,52 65 
348,20 43 56 
349,24 
350,20 
351,-1
352,-1
353,-1
354,9 30 
355,-1
356,-1
357,-1
358,-1
359,-1
360,9 30 
361,-1
362,-1
363,-1
364,-1
365,84 
366,-1
367,43 
368,-1
369,36 
370,-1
371,10 
372,11 12 43 53 56 86 97 
373,-1
374,23 
375,-1
376,9 25 30 
377,-1
378,25 
379,-1
380,-1
381,97 
382,-1
383,-1
384,-1
385,-1
386,47 
387,-1
388,-1
389,-1
390,37 
391,-1
392,-1
393,-1
394,60 73 
395,24 
396,-1
397,-1
398,37 
399,-1
400,3 
401,-1
402,-1
403,57 
404,59 69 
405,-1
406,-1
407,-1
408,74 
409,-1
410,-1
411,-1
412,30 
413,-1
414,36 
415,-1
416,-1
417,2 83 
418,-1
419,26 
420,-1
421,67 
422,56 
423,-1
424,84 
425,-1
426,-1
427,-1
428,-1
429,-1
430,-1
431,-1
432,23 
433,-1
434,-1
435,-1
436,-1
437,38 60 
438,-1
439,72 
440,72 
441,11 
442,-1
443,-1
444,-1
445,-1
446,0 
447,-1
448,-1
449,47 
450,63 
451,-1
452,-1
