Id,Predict
0,-1
1,-1
2,31 
3,23 
4,29 
5,-1
6,26 37 
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,72 
15,-1
16,84 
17,-1
18,37 
19,-1
20,-1
21,-1
22,65 
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,11 82 
31,12 83 
32,-1
33,84 
34,59 75 98 
35,-1
36,-1
37,-1
38,41 64 
39,85 
40,-1
41,50 
42,53 
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,60 
61,27 45 58 
62,-1
63,83 
64,22 87 
65,-1
66,10 
67,-1
68,26 
69,-1
70,19 37 
71,-1
72,-1
73,-1
74,6 
75,-1
76,77 
77,-1
78,6 
79,-1
80,-1
81,41 
82,-1
83,-1
84,-1
85,60 
86,-1
87,81 
88,-1
89,-1
90,-1
91,-1
92,47 
93,-1
94,-1
95,-1
96,-1
97,-1
98,22 74 
99,92 
100,26 
101,-1
102,-1
103,-1
104,65 
105,-1
106,-1
107,-1
108,-1
109,-1
110,48 
111,-1
112,-1
113,-1
114,27 
115,-1
116,-1
117,0 34 
118,-1
119,56 
120,-1
121,-1
122,6 
123,-1
124,-1
125,-1
126,77 
127,-1
128,-1
129,-1
130,-1
131,13 
132,-1
133,74 
134,-1
135,71 
136,14 
137,-1
138,-1
139,-1
140,-1
141,-1
142,83 
143,-1
144,-1
145,-1
146,6 
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,12 
156,26 
157,-1
158,36 37 
159,21 
160,65 
161,45 
162,-1
163,-1
164,53 
165,-1
166,-1
167,-1
168,-1
169,-1
170,13 
171,77 
172,12 
173,67 
174,53 60 
175,63 
176,37 
177,-1
178,22 
179,-1
180,-1
181,-1
182,-1
183,-1
184,21 
185,10 
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,87 
193,-1
194,-1
195,-1
196,-1
197,-1
198,41 
199,-1
200,-1
201,-1
202,-1
203,16 
204,-1
205,-1
206,26 79 
207,-1
208,-1
209,-1
210,19 
211,87 
212,-1
213,77 
214,53 
215,57 
216,-1
217,13 
218,-1
219,-1
220,-1
221,-1
222,-1
223,-1
224,-1
225,-1
226,65 
227,-1
228,-1
229,13 75 91 
230,-1
231,-1
232,6 
233,0 
234,68 
235,0 
236,-1
237,-1
238,-1
239,-1
240,84 
241,-1
242,19 
243,-1
244,81 
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,33 
252,49 
253,10 
254,-1
255,36 53 
256,-1
257,-1
258,-1
259,1 
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,19 
268,-1
269,-1
270,68 69 
271,-1
272,20 83 97 
273,-1
274,-1
275,26 81 
276,-1
277,25 30 82 
278,-1
279,-1
280,-1
281,-1
282,-1
283,6 71 
284,-1
285,-1
286,-1
287,19 
288,20 
289,-1
290,45 
291,-1
292,-1
293,-1
294,47 
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,32 
302,-1
303,-1
304,83 97 
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,74 
312,33 
313,-1
314,44 
315,-1
316,-1
317,60 73 
318,28 36 
319,-1
320,-1
321,-1
322,18 77 
323,83 
324,-1
325,-1
326,-1
327,72 
328,74 
329,-1
330,-1
331,49 84 
332,41 
333,-1
334,-1
335,-1
336,34 
337,23 50 
338,84 
339,67 
340,59 
341,26 
342,-1
343,-1
344,-1
345,-1
346,-1
347,30 71 
348,20 
349,6 
350,-1
351,31 
352,6 
353,77 
354,-1
355,37 
356,97 
357,-1
358,-1
359,-1
360,-1
361,-1
362,49 
363,65 
364,-1
365,84 
366,79 
367,53 
368,-1
369,10 36 
370,45 63 94 
371,10 81 
372,6 53 
373,-1
374,-1
375,71 97 
376,-1
377,26 
378,-1
379,-1
380,-1
381,35 41 97 
382,43 
383,-1
384,-1
385,71 
386,-1
387,-1
388,-1
389,-1
390,-1
391,31 
392,-1
393,-1
394,-1
395,36 
396,53 
397,0 65 
398,-1
399,-1
400,-1
401,-1
402,-1
403,-1
404,59 
405,-1
406,-1
407,53 
408,37 74 
409,41 
410,-1
411,-1
412,-1
413,77 
414,-1
415,-1
416,-1
417,-1
418,12 59 
419,-1
420,-1
421,-1
422,-1
423,-1
424,84 
425,10 
426,-1
427,38 72 
428,-1
429,-1
430,-1
431,-1
432,39 
433,98 
434,-1
435,84 
436,19 43 
437,-1
438,-1
439,10 
440,-1
441,44 53 
442,-1
443,-1
444,-1
445,-1
446,-1
447,26 75 
448,11 
449,47 
450,37 
451,-1
452,28 65 
453,48 
454,-1
455,79 
456,-1
457,17 57 
458,-1
459,-1
460,-1
461,-1
462,-1
463,-1
464,-1
465,78 
466,-1
467,-1
468,-1
469,-1
470,46 
471,53 
472,-1
473,-1
474,-1
475,98 
476,-1
477,26 
478,30 
479,-1
480,-1
481,-1
482,10 
483,95 
484,5 
485,-1
486,-1
487,-1
488,-1
489,-1
490,-1
491,-1
492,63 
493,-1
494,-1
495,43 
496,-1
497,72 
498,-1
499,-1
500,-1
501,3 
502,-1
503,-1
504,16 
505,-1
506,49 
507,-1
508,74 
509,-1
510,-1
511,29 
512,69 
513,-1
514,-1
515,12 
516,-1
517,26 
518,-1
519,19 88 
520,-1
521,-1
522,-1
523,1 21 97 
524,-1
525,-1
526,-1
527,24 
528,-1
529,-1
530,45 
531,-1
532,41 62 
533,-1
534,94 
535,-1
536,-1
537,-1
538,-1
539,-1
540,-1
541,-1
542,53 
543,-1
544,-1
545,-1
546,82 
547,37 
548,0 34 
549,-1
550,33 
551,95 
552,89 
553,-1
554,-1
555,-1
556,-1
557,10 84 
558,-1
559,23 
560,-1
561,-1
562,95 
563,-1
564,-1
565,-1
566,28 
567,-1
568,-1
569,21 
570,-1
571,-1
572,19 
573,-1
574,-1
575,-1
576,88 
577,36 
578,-1
579,36 44 
580,-1
581,-1
582,-1
583,-1
584,78 
585,6 19 
586,50 79 
587,82 
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-1
595,56 
596,21 
597,-1
598,37 83 
599,26 
600,59 74 83 
601,38 91 
602,-1
603,-1
604,-1
605,-1
606,-1
607,-1
608,34 
609,-1
610,-1
611,-1
612,-1
613,30 47 
614,-1
615,-1
616,-1
617,26 
618,-1
619,64 
620,-1
621,42 
622,-1
623,36 
